dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1750-01-01,3.0340000000000003,3.574,,,,,,
1750-02-01,3.083,3.702,,,,,,
1750-03-01,5.626,3.076,,,,,,
1750-04-01,8.49,2.451,,,,,,
1750-05-01,11.573,2.072,,,,,,
1750-06-01,12.937000000000001,1.724,,,,,,
1750-07-01,15.868,1.911,,,,,,
1750-08-01,14.75,2.231,,,,,,
1750-09-01,11.412999999999998,2.637,,,,,,
1750-10-01,6.366999999999999,2.668,,,,,,
1750-11-01,,,,,,,,
1750-12-01,2.772,2.97,,,,,,
1751-01-01,2.495,3.469,,,,,,
1751-02-01,0.963,3.827,,,,,,
1751-03-01,5.8,3.051,,,,,,
1751-04-01,7.67,2.3680000000000003,,,,,,
1751-05-01,,,,,,,,
1751-06-01,13.827,1.801,,,,,,
1751-07-01,,,,,,,,
1751-08-01,14.405,2.296,,,,,,
1751-09-01,10.673,2.656,,,,,,
1751-10-01,,,,,,,,
1751-11-01,,,,,,,,
1751-12-01,,,,,,,,
1752-01-01,0.3480000000000003,3.789,,,,,,
1752-02-01,,,,,,,,
1752-03-01,5.806,3.192,,,,,,
1752-04-01,8.264999999999999,2.398,,,,,,
1752-05-01,,,,,,,,
1752-06-01,,,,,,,,
1752-07-01,,,,,,,,
1752-08-01,,,,,,,,
1752-09-01,,,,,,,,
1752-10-01,7.838999999999999,2.754,,,,,,
1752-11-01,7.335,2.747,,,,,,
1752-12-01,5.086,2.982,,,,,,
1753-01-01,2.039,3.478,,,,,,
1753-02-01,0.7149999999999999,6.341,,,,,,
1753-03-01,5.4239999999999995,2.929,,,,,,
1753-04-01,8.272,3.177,,,,,,
1753-05-01,12.186,3.111,,,,,,
1753-06-01,14.585,2.59,,,,,,
1753-07-01,15.092,1.929,,,,,,
1753-08-01,14.148,2.4530000000000003,,,,,,
1753-09-01,13.322000000000001,2.5380000000000003,,,,,,
1753-10-01,8.962,2.585,,,,,,
1753-11-01,5.353,2.807,,,,,,
1753-12-01,0.5589999999999997,4.174,,,,,,
1754-01-01,1.574,5.02,,,,,,
1754-02-01,-1.2489999999999997,7.492000000000001,,,,,,
1754-03-01,3.677,3.3360000000000003,,,,,,
1754-04-01,11.61,3.293,,,,,,
1754-05-01,11.936,3.937,,,,,,
1754-06-01,14.388,3.366,,,,,,
1754-07-01,14.681,2.401,,,,,,
1754-08-01,13.556,1.892,,,,,,
1754-09-01,11.129000000000001,2.318,,,,,,
1754-10-01,9.582,2.529,,,,,,
1754-11-01,6.1610000000000005,3.048,,,,,,
1754-12-01,4.587,3.299,,,,,,
1755-01-01,1.067,4.6930000000000005,,,,,,
1755-02-01,-0.1080000000000001,5.857,,,,,,